Id,Country,City,Lat,Lng
428,Argentina,Mar del Plata,-38,-57.5499992
429,Argentina,Quilmes,-34.7202778,-58.2694435
430,Argentina,Salta,-24.7833333,-65.4166641
431,Argentina,Santa Fe,-31.6333333,-60.7000008
432,Argentina,San Juan,-31.5375,-68.5363922
433,Argentina,Resistencia,-27.45,-58.9833336
434,Argentina,Santiago del Estero,-27.7833333,-64.2666702
435,Argentina,Corrientes,-27.4666667,-58.8333321
436,Argentina,Posadas,-27.3833333,-55.8833351
437,Argentina,San Salvador de Jujuy,-24.1833333,-65.3000031
438,Argentina,Bahia Blanca,-38.7166667,-62.2833328
439,Argentina,Parana,-31.7333333,-60.5333328
440,Argentina,Neuquen,-38.95,-68.0666656
441,Argentina,Formosa,-26.1833333,-58.1833344
442,Argentina,San Fernando del Valle de Catamarca,-28.4666667,-65.7833328
443,Argentina,San Luis,-33.3,-66.3499985
444,Argentina,La Rioja,-29.4333333,-66.8499985
445,Argentina,Rio Cuarto,-33.1333333,-64.3499985
446,Argentina,Concordia,-31.4,-58.0333328
447,Argentina,Comodoro Rivadavia,-45.8666667,-67.5
448,Argentina,San Nicolas de los Arroyos,-33.3302778,-60.226944
449,Argentina,Santa Rosa,-36.6166667,-64.2833328
450,Argentina,San Rafael,-34.6,-68.3333359
451,Argentina,Tandil,-37.3166667,-59.1500015
452,Argentina,San Carlos de Bariloche,-41.15,-71.3000031
453,Argentina,Trelew,-43.2489539,-65.3050537
454,Argentina,Villa Maria,-32.4166667,-63.25
455,Argentina,Reconquista,-29.15,-59.6500015
456,Argentina,Zarate,-34.0922222,-59.0349998
457,Argentina,Rafaela,-31.2666667,-61.4833336
458,Argentina,Pergamino,-33.8925,-60.5724983
459,Argentina,Olavarria,-36.9,-60.2833328
460,Argentina,Rio Gallegos,-51.6333333,-69.2166672
461,Argentina,Junin,-34.585,-60.958889
462,Argentina,San Martin,-33.0666667,-68.4666672
463,Argentina,Presidencia Roque Saenz Pena,-26.7833333,-60.4500008
464,Argentina,Lujan,-34.5702778,-59.1049995
465,Argentina,Campana,-34.1769444,-58.9208336
466,Argentina,Necochea,-38.55,-58.75
467,Argentina,Gualeguaychu,-33.0102778,-58.5141678
468,Argentina,San Ramon de la Nueva Oran,-23.1322304,-64.3259811
469,Argentina,General Roca,-39.0333333,-67.5833359
470,Argentina,Venado Tuerto,-33.7497222,-61.9669456
471,Argentina,Goya,-29.1333333,-59.2666664
472,Argentina,Villa Carlos Paz,-31.4,-64.5166702
473,Argentina,Concepcion del Uruguay,-32.4833333,-58.2283325
474,Argentina,Puerto Madryn,-42.7666667,-65.0500031
475,Argentina,Tartagal,-22.5333333,-63.8166656
476,Argentina,San Francisco,-31.4333333,-62.0833321
477,Argentina,San Pedro,-24.2333333,-64.8666687
478,Argentina,Ushuaia,-54.8,-68.3000031
479,Argentina,Punta Alta,-38.8833333,-62.0833321
480,Argentina,General Pico,-35.6666667,-63.7333336
481,Argentina,Colegiales,-34.5833333,-58.4500008
482,Argentina,Obera,-27.4833333,-55.1333351
483,Argentina,Chivilcoy,-34.9083333,-60.0305557
484,Argentina,Azul,-36.7833333,-59.8499985
485,Argentina,Rio Tercero,-32.1833333,-64.0999985
486,Argentina,Mercedes,-34.6544444,-59.4344444
487,Argentina,Libertador General San Martin,-23.8,-64.8000031
488,Argentina,Viedma,-40.8,-63
489,Argentina,San Lorenzo,-28.1333333,-58.7666664
490,Argentina,Cutral-Co,-38.9333333,-69.2333298
491,Argentina,Tres Arroyos,-38.3833333,-60.2833328
492,Argentina,Villa Constitucion,-33.2333333,-60.3333321
493,Argentina,Alta Gracia,-31.6666667,-64.4333344
494,Argentina,Canada de Gomez,-32.8169444,-61.4008331
495,Argentina,Bell Ville,-32.6166667,-62.7000008
496,Argentina,Nueve de Julio,-35.4541667,-60.8913879
497,Argentina,Chacabuco,-34.6416667,-60.4738884
498,Argentina,Villa Santa Rita,-34.6147735,-58.4797096
499,Argentina,Gualeguay,-33.1444444,-59.3291664
500,Argentina,Puerto Iguazu,-25.5991157,-54.573555
501,Argentina,Mercedes,-29.2,-58.0833321
502,Argentina,Coronel Suarez,-37.4666667,-61.9166679
503,Argentina,Rawson,-43.3,-65.0999985
504,Argentina,Dolores,-36.3333333,-57.6666679
505,Argentina,Victoria,-32.6184122,-60.1547813
506,Argentina,Lincoln,-34.865,-61.5319443
507,Argentina,Veinticinco de Mayo,-35.4280556,-60.1741676
508,Argentina,Clorinda,-25.2833333,-57.7166672
509,Argentina,Cafayate,-26.0833333,-65.9666672
510,Argentina,El Calafate,-50.3407497,-72.2768173
511,Argentina,Larroque,-33.0333333,-59.0166664
512,Argentina,Campo Quijano,-24.9166667,-65.6500015
513,Argentina,San Antonio de los Cobres,-24.1833333,-66.3499985
514,Argentina,Santa Rosa de Tastil,-24.4333333,-65.9499969
515,Argentina,Purmamarca,-23.7333333,-65.4833298
516,Argentina,Villa Catedral,-41.1673478,-71.4387741
517,Armenia,Yerevan,40.1811111,44.5136108
518,Armenia,Gyumri,40.7894444,43.8474998
519,Armenia,Vanadzor,40.8127778,44.4883347
520,Armenia,Ejmiatsin,40.1727778,44.2924995
521,Armenia,Hrazdan,40.5016667,44.7547226
522,Armenia,Abovyan,40.2691667,44.6244431
523,Armenia,Kapan,39.2011111,46.4150009
524,Armenia,Ararat,39.8302778,44.7024994
525,Armenia,Armavir,40.1522222,44.0308342
526,Armenia,Gavarr,40.3588889,45.126667
527,Armenia,Artashat,39.9538889,44.5505562
528,Armenia,Goris,39.5077778,46.3386116
529,Armenia,Masis,40.0672222,44.4361115
530,Armenia,Ashtarak,40.3016667,44.3591652
531,Armenia,Sevan,40.555,44.9536095
532,Armenia,Spitak,40.8372222,44.2675018
533,Armenia,Ijevan,40.8755556,45.1491661
534,Armenia,Dilijan,40.7408333,44.8630562
535,Armenia,Alaverdi,41.1305556,44.6519432
536,Armenia,Vedi,39.9105556,44.7277794
537,Armenia,Vardenis,40.1805556,45.7283325
538,Armenia,Martuni,40.1447222,45.3063889
539,Armenia,Yeghvard,40.3216667,44.4813881
540,Armenia,Metsamor,40.0713889,44.2891655
541,Armenia,Berd,40.8808333,45.3916664
542,Armenia,Vardenik,40.135,45.4363899
543,Armenia,Akhuryan,40.7813889,43.896389
544,Armenia,Tashir,41.1244444,44.2819443
545,Armenia,Byureghavan,40.3147222,44.5936127
546,Armenia,Garrni,40.1194444,44.7230568
547,Armenia,Sarukhan,40.2891667,45.1341667
548,Armenia,Chambarak,40.5952778,45.3474998
549,Armenia,Aparan,40.5961111,44.353611
550,Armenia,Noratus,40.3822222,45.1783333
551,Armenia,Hoktember,40.1361111,44.0138893
552,Armenia,Noyemberyan,41.1725,44.9936104
553,Armenia,Karanlukh,40.1044444,45.2897224
554,Armenia,Mrgashat,40.1297222,44.0705566
555,Armenia,Maralik,40.5722222,43.8669434
556,Armenia,Nor Geghi,40.3211111,44.5797234
557,Armenia,Oshakan,40.2705556,44.269165
558,Armenia,Metsavan,41.2016667,44.2288895
559,Armenia,Agarak,39.2038889,46.5472221
560,Armenia,Jermuk,39.8416667,45.6722221
561,Armenia,Meghri,38.9022222,46.2383347
562,Armenia,Odzun,41.0538889,44.6113892
563,Armenia,Zovuni,40.5108333,44.4288902
564,Armenia,Azatan,40.7238889,43.8205566
565,Armenia,Prroshyan,40.2480556,44.4150009
566,Armenia,Kasakh,40.5333333,44.4166679
567,Armenia,Yeranos,40.2080556,45.1861115
568,Armenia,Avshar,39.8405556,44.6836128
569,Armenia,Lchashen,40.5202778,44.9308319
570,Armenia,Malishka,39.7369444,45.3875008
571,Armenia,Verin Getashen,40.1327778,45.2486115
